abp;arcybiskup
adw;adwokat
afr;Afryka
al.;aleja
ang;angielski
art.;artykul
asp;aspirant
ciesn.;ciesnina
czw.;czwartek
czyt.;czytaj
d-ca.;dowodca
daw.;dawniej
db.;dobry
def.;definicja
doc.;docent
dot.;dotyczacy
dr.;doktor
dst.;dostateczny
dyr.;dyrektor
ekg.;elektrokardiogram
europ.;europejski
ew.;ewentualnie
fot.;fotograf
gen.;general
gm.;gmina
godz.;godzina
gr;grosz
hab.;habilitowany
im.;imienia
inz.;inzynier
kat.;kategoria
kier.;kierownik
kpt.;kapitan
ks.;ksiadz
lek.;lekarz
lit.;literacki
log;logrytm
mgr;magister
mies.;miesiac
min;minimum
mld;miliard
nr;numer
ndst;niedostateczny
niedz.;niedziela
odc.;odcinek
pld.;poludnie
pln.;polnoc
red.;redaktor
rys.;ryunek
sierz.;sierzant
str.;strona
sw.;swiety
szer.;szerokosc
tab.;tabela
tlum.;tlumaczenie
vs.;przeciwko
wet.;weterynarz
wroc;wroclawski
wsch.;wschodni
woj.;wojewodztwo
zach.;zachodni
zl;zloty
